Date,AAPL US EQUITY,BABA US EQUITY,DIS US EQUITY,LULU US EQUITY,PSX US EQUITY,SPGI US EQUITY,LMT US EQUITY,TXN US EQUITY,V US EQUITY,MCD US EQUITY,SPX INDEX
12/31/2014,27.595,103.94,94.19,55.79,71.7,88.98,192.57,53.465,65.55,93.7,2058.9
01/02/2015,27.333,103.6,93.75,55.34,72.29,88.66,193.31,53.48,66.255,93.26,2058.2
01/05/2015,26.563,101,92.38,55.96,67.92,87.09,189.29,52.645,64.7925,92.23,2020.58
01/06/2015,26.565,103.32,91.89,55.57,66.02,85.83,188.4,51.78,64.375,92.4,2002.61
01/07/2015,26.938,102.13,92.83,57.65,66.31,86.97,190.83,52.71,65.2375,94.01,2025.9
01/08/2015,27.973,105.03,93.79,59.07,68.89,87.75,195.13,53.57,66.1125,94.36,2062.14
01/09/2015,28.003,103.02,94.25,58.63,67.31,87,195.02,53.6,65.1325,93.21,2044.81
01/12/2015,27.313,101.62,94.46,62.59,64.24,85.76,194.47,53.12,65.005,93.01,2028.26
01/13/2015,27.555,100.77,95.19,63.06,61.5,90.89,194.35,52.79,65.195,92.83,2023.03
01/14/2015,27.45,99.58,94.23,63.4,59.42,88.9,193.23,52.71,63.89,91.54,2011.27
01/15/2015,26.705,96.31,94.35,62.51,59.09,88.29,192.37,52.385,63.2825,91.38,1992.67
01/16/2015,26.498,96.89,95.18,63,60.83,90.77,194.71,53.285,63.7375,91.49,2019.42
01/20/2015,27.18,100.04,94.74,63,63.62,90.96,195.75,53.805,64.21,90.8,2022.55
01/21/2015,27.388,103.29,94.17,62.86,66.25,90.7,195.5,54.28,64.32,90.34,2032.12
01/22/2015,28.1,104,95.15,63.76,67.31,91.68,198.09,54.97,64.4,90.89,2063.15
01/23/2015,28.245,103.11,94.72,66.2,68.52,91.82,197.44,55.06,64.5725,89.56,2051.82
01/26/2015,28.275,103.99,94.97,66.76,68.4,92.21,195.68,55.05,64.1325,90.67,2057.09
01/27/2015,27.285,102.94,93.97,67.48,69.6,91.39,190.55,54.83,62.7475,89.57,2029.55
01/28/2015,28.828,98.45,92.67,66.16,68.37,89.04,189.25,53.935,61.59,88.78,2002.16
01/29/2015,29.725,89.81,93.22,67.195,70.48,90.29,192.5,54.67,62,93.27,2021.25
01/30/2015,29.29,89.08,90.96,66.24,70.32,89.44,188.37,53.45,63.7275,92.44,1994.99
02/02/2015,29.658,90.13,91.93,65.52,72.8,90.3,189.33,53.49,63.835,92.51,2020.85
02/03/2015,29.663,90.61,94.1,66.49,74.88,93.98,192,54.44,64.9475,93.92,2050.03
02/04/2015,29.89,90,101.28,65.66,74.42,94.84,192.28,54.615,66.2225,94.05,2041.51
02/05/2015,29.985,87,102.64,65.29,75.21,95.88,194.06,55.31,67.95,94.34,2062.52
02/06/2015,29.733,85.68,102.02,64.435,76.1,97.55,195.24,54.36,66.855,93.99,2055.47
02/09/2015,29.93,86,101.73,65.43,75.93,96.9,193.02,54.27,66.365,92.72,2046.74
02/10/2015,30.505,87.26,101.92,65.755,75.67,97.81,195.67,55.82,66.1375,94.02,2068.59
02/11/2015,31.22,86,101.87,65.59,74.19,98.16,196.31,56,66.4975,94.21,2068.53
02/12/2015,31.615,87.1,103.58,66.04,75.11,102.19,197.48,57.44,67.7275,95.09,2088.48
02/13/2015,31.77,89.05,104.17,65.98,76.62,102.19,196.95,57.965,67.4075,95.65,2096.99
02/17/2015,31.958,86.85,104.12,66,76.9,103.2,197.57,58.2,67.7175,94.35,2100.34
02/18/2015,32.179,86.74,103.86,66.42,75.95,105.01,198.57,57.94,67.28,94.58,2099.68
02/19/2015,32.112,86.89,103.89,66.89,77.43,104.88,201.71,58.04,67.275,94.19,2097.45
02/20/2015,32.374,86.64,104.55,67.37,77.34,104.63,203.99,58.52,68.25,94.19,2110.3
02/23/2015,33.25,85.47,104.99,66.08,79.33,104.13,205.59,58.27,68.2525,94.31,2109.66
02/24/2015,33.043,84.69,104.67,66.1,80,104.01,206.62,58.96,68.1175,94.98,2115.48
02/25/2015,32.197,86.19,105.57,67.09,79.09,103.68,204.86,59.1,68.2525,98.66,2113.86
02/26/2015,32.604,85.37,104.56,66.48,80.06,103.49,201.33,59.42,68.4375,99.51,2110.74
02/27/2015,32.115,85.12,104.08,68.44,78.46,103.1,200.05,58.8,67.8275,98.9,2104.5
03/02/2015,32.273,84,105.89,67.49,77,103.49,203.02,59.94,69.5725,100,2117.39
03/03/2015,32.34,81.58,106.35,65.87,78.09,103.62,199.93,58.57,68.825,99.74,2107.78
03/04/2015,32.135,85.49,105.57,65.52,77.96,102.55,198.97,58.32,68.4375,100.25,2098.53
03/05/2015,31.603,86.1,105.03,64.845,76.88,102.8,199.1,58.34,68.5325,99.11,2101.04
03/06/2015,31.65,84.4,103.82,62.3,75.36,101.43,197.66,57.64,67.335,97.13,2071.26
03/09/2015,31.785,82.53,105.26,62.24,76.29,103.47,199.74,58.42,67.855,97.71,2079.43
03/10/2015,31.128,82.97,103.09,62.08,74.03,101.55,197.58,57.1,66.3,96.29,2044.16
03/11/2015,30.56,81.99,102.89,62.27,74.55,102.56,197.21,57.17,66.1875,94.96,2040.24
03/12/2015,31.113,81.92,107.17,62.815,74.16,104.97,198.78,57.22,67.395,96.25,2065.95
03/13/2015,30.898,81.86,106.44,63.12,74.64,104.29,197.11,57.115,66.2575,96.35,2053.4
03/16/2015,31.238,84,107.37,63.61,76.29,105.87,202.11,58.33,67.255,97.15,2081.19
03/17/2015,31.76,84.5,106.96,64.42,75.95,106.99,200.67,57.97,66.125,96.17,2074.28
03/18/2015,32.118,84.59,107.97,64.4,78.12,107.73,202.6,58.3,66.9175,97,2099.5
03/19/2015,31.874,85.74,107.37,64.4,77.51,107.51,202.19,58.525,66.81,95.98,2089.27
03/20/2015,31.475,85.2,108.43,65.74,78.86,108.59,203.77,59.28,67.41,97.05,2108.1
03/23/2015,31.803,84.25,108.22,63.71,78.53,106.5,202.92,58.66,67.08,98.62,2104.42
03/24/2015,31.673,83.63,107.11,63.3,77.63,105.32,203.3,58.44,67.1,99.36,2091.5
03/25/2015,30.845,83.75,105,60.96,79,103.78,199.02,55.73,65.73,98.14,2061.05
03/26/2015,31.06,84.17,105.24,63.965,78.44,104.19,200.56,55.8,65.59,97.64,2056.15
03/27/2015,30.813,84.58,105.48,64.32,77.61,103.82,202.23,56.76,65.54,96.96,2061.02
03/30/2015,31.593,83.9,106.12,64.83,79.56,105.31,204.89,58,65.66,97.88,2086.24
03/31/2015,31.108,83.24,104.89,64.02,78.6,103.4,202.96,57.185,65.41,97.44,2067.89
04/01/2015,31.063,82.36,105.44,63.1,79.94,104.91,198.76,56.535,65.18,96.29,2059.69
04/02/2015,31.33,82.28,106,63.345,78.17,104.46,198.72,56.72,65.29,95.83,2066.96
04/06/2015,31.838,81.82,105.63,64.405,78.55,104.51,200.53,56.81,65.2,96.28,2080.62
04/07/2015,31.503,82.21,105.43,66.41,77.77,103.78,200.15,56.94,65.8,96.35,2076.33
04/08/2015,31.4,85.39,106.36,68.705,77.41,104.45,200.81,56.97,66.5,96.85,2081.9
